Location Name,Location Type,Destination City,Destination_pincode,Destination State,Latitude,Longitude,Volume,active_status,curr_hub,curr_lat,curr_lon,curr_destination
HANSCO SALES (INDIA),Demand,JALANDHAR,144001,PUNJAB,31.3349639,75.51554,174,0,0,0,0,"0,0"
Saksham INC,Demand,GURGAON,122019,HARYANA,28.4413002,77.0822124,362,0,0,0,0,"0,0"
SHRINIDHI,Demand,MUMBAI,400067,MAHARASHTRA,19.2088571,72.8297272,329,0,0,0,0,"0,0"
MAHAGEETA CREATION,Demand,JAIPUR,302022,RAJASTHAN,26.7722834,75.856151,88,0,0,0,0,"0,0"
VANI ENTERPRISES,Demand,NEW DELHI,110094,DELHI,28.7077712,77.2867217,156,0,0,0,0,"0,0"
Go5 Incorporation,Demand,GURGAON,122002,HARYANA,28.4910596,77.1081704,105,0,0,0,0,"0,0"
SHARMA ENTERPRISES,Demand,HISSAR,125001,HARYANA,29.1173894,75.6988466,216,0,0,0,0,"0,0"
Arman Enterprise,Demand,SURAT,395008,GUJARAT,21.222419,72.897233,225,0,0,0,0,"0,0"
OMRON BAGS,Demand,BHIWANDI,421302,MAHARASHTRA,19.2914183,73.0578804,70,0,0,0,0,"0,0"
HANSABEN NARESHBHAI PATEL,Demand,SURAT,394107,GUJARAT,21.2432166,72.860181,787,0,0,0,0,"0,0"
SPEEDEX OVERSEAS PVT LTD,Demand,SONIPAT,131028,HARYANA,28.8753562,77.1253474,112,0,0,0,0,"0,0"
PRELOONS,Demand,MUMBAI,400060,MAHARASHTRA,19.138147,72.8508488,130,0,0,0,0,"0,0"
OLIVE OPS,Demand,NEW DELHI,110034,DELHI,28.7046109,77.1416855,139,0,0,0,0,"0,0"
SHRADHA ENTERPRISES-Rajasthan,Demand,JAIPUR,302003,RAJASTHAN,26.922344,75.822106,177,0,0,0,0,"0,0"
SHIV PRODUCT,Demand,RAJKOT,360004,GUJARAT,22.2384706,70.7957459,143,0,0,0,0,"0,0"
NAMAN E-RETAIL,Demand,GANGAGHAT,209861,UTTAR PRADESH,26.4758008,80.3863068,97,0,0,0,0,"0,0"
ADITYA TIME,Demand,NEW DELHI,110088,DELHI,28.708906,77.1694437,181,0,0,0,0,"0,0"
SHINING STARS,Demand,MUMBAI,400097,MAHARASHTRA,19.1849289,72.8560993,217,0,0,0,0,"0,0"
KALKAJI TRADING,Demand,NEW DELHI,110032,DELHI,28.6678081,77.2989768,190,0,0,0,0,"0,0"
OFLINE SELECTION,Demand,SURAT,395010,GUJARAT,21.1892023,72.8958374,115,0,0,0,0,"0,0"
AQUIRE INDIA PRIVATE LIMITED,Demand,TIRUPPUR,641666,TAMIL NADU,11.2009567,77.3586684,256,0,0,0,0,"0,0"
JBJ IMPEX,Demand,NEW DELHI,110042,DELHI,28.7550848,77.1464026,94,0,0,0,0,"0,0"
RUMON,Demand,SURAT,394210,GUJARAT,21.1879571,72.8421849,158,0,0,0,0,"0,0"
KVA INDUSTRIAL SOLUTIONS PRIVATE LIMITED,Demand,NOIDA,201301,UTTAR PRADESH,28.5896507,77.3708654,155,0,0,0,0,"0,0"
AFFLATUS COSMETIC,Demand,SURAT,395008,GUJARAT,21.2231468,72.8967764,146,0,0,0,0,"0,0"
parishi trading company,Demand,NEW DELHI,110052,DELHI,28.7017889,77.1662357,72,0,0,0,0,"0,0"
DYNAMIC STORE,Demand,MUMBAI,401105,MAHARASHTRA,19.2996263,72.8552642,135,0,0,0,0,"0,0"
MARK ENTERPRISES,Demand,HISSAR,125001,HARYANA,29.1730941,75.7233173,162,0,0,0,0,"0,0"
KAPASIYA ENTERPRISES,Demand,GREATER NOIDA,201310,UTTAR PRADESH,28.478369,77.525576,68,0,0,0,0,"0,0"
KANHA ENTERPRISES-Kanpur,Demand,KANPUR,208001,UTTAR PRADESH,26.4660959,80.3282969,125,0,0,0,0,"0,0"
Global Retail Ventures LLP,Demand,NEW DELHI,110039,DELHI,28.8061872,77.0505228,165,0,0,0,0,"0,0"
HANSH ENTERPRISES,Demand,NEW DELHI,110093,DELHI,28.7041749,77.3058772,110,0,0,0,0,"0,0"
RUCHIKA TRADING,Demand,HISSAR,125001,HARYANA,28.7242276,77.2228048,167,0,0,0,0,"0,0"
THRIFTKART,Demand,AHMEDABAD,382330,GUJARAT,23.070915,72.666924,95,0,0,0,0,"0,0"
KASHVI TRADERS,Demand,NEW DELHI,110052,DELHI,28.6740065,77.1821595,185,0,0,0,0,"0,0"
UNIRISE ENTERPRISES (OPC) PRIVATE LIMITED,Demand,NEW DELHI,110086,DELHI,28.7123705,77.0812466,94,0,0,0,0,"0,0"
Shopper52,Demand,MUMBAI,400015,MAHARASHTRA,18.9858628,72.851573,98,0,0,0,0,"0,0"
SITANJALI,Demand,SURAT,395002,GUJARAT,21.1861737,72.8408163,123,0,0,0,0,"0,0"
AKSHAR ENTERPRISE,Demand,RAJKOT,360004,GUJARAT,22.2605666,70.7935606,84,0,0,0,0,"0,0"
SMART SHOPPEE RETAILS-GGN-SOHNA-BD-VOI,Demand,YAMUNA NAGAR,135003,HARYANA,30.168713,77.302981,159,0,0,0,0,"0,0"
LEATHER WORLD,Demand,MUMBAI,400017,MAHARASHTRA,19.0455916,72.8537063,108,0,0,0,0,"0,0"
SHREE OM ENTERPRISES,Demand,NEW DELHI,110035,DELHI,28.6857874,77.160737,91,0,0,0,0,"0,0"
PAYSTORE,Demand,HISSAR,125001,HARYANA,29.1396085,75.7218279,159,0,0,0,0,"0,0"
Rahul Kumar,Demand,NEW DELHI,110094,DELHI,28.7309841,77.2785218,75,0,0,0,0,"0,0"
AYESHA MOBILE POINT,Demand,NEW DELHI,110053,DELHI,28.6830318,77.2557508,167,0,0,0,0,"0,0"
HAMILTON HOUSEWARES PVT LTD,Demand,THANE,401104,MAHARASHTRA,19.2759844,72.8816186,158,0,0,0,0,"0,0"
SMART NJ,Demand,SURAT,395010,GUJARAT,21.1892023,72.8958374,96,0,0,0,0,"0,0"
SARASWATI TRADING CO GGN_SDRNA-VOI,Demand,PANIPAT,132103,HARYANA,29.4083447,76.9759287,62,0,0,0,0,"0,0"
PATEL MART,Demand,SURAT,395006,GUJARAT,21.2305574,72.901545,76,0,0,0,0,"0,0"
VAIBHAV INTERNATIONAL,Demand,PANIPAT,132103,HARYANA,29.3714004,76.9805655,124,0,0,0,0,"0,0"
POSHYAA FASHION,Demand,SURAT,395001,GUJARAT,21.2068595,72.8401015,131,0,0,0,0,"0,0"
KOSHER TRADERS,Demand,GHAZIABAD,201002,UTTAR PRADESH,28.6898886,77.4545811,153,0,0,0,0,"0,0"
DARSHITA INTERNATIONAL,Demand,SURAT,395008,GUJARAT,21.2062759,72.8354826,110,0,0,0,0,"0,0"
GANESH ENTERPRISE,Demand,RAJKOT,360004,GUJARAT,22.2677094,70.7934495,179,0,0,0,0,"0,0"
SKS ENTERPRISES,Demand,HISSAR,125001,HARYANA,29.1173894,75.6988466,145,0,0,0,0,"0,0"
FASHION DREAM,Demand,SURAT,394210,GUJARAT,21.1668058,72.8502796,102,0,0,0,0,"0,0"
KIARA ENTERPRISE,Demand,AHMEDABAD,382480,GUJARAT,23.0738117,72.5757919,102,0,0,0,0,"0,0"
AR TRADERS,Demand,NEW DELHI,110055,DELHI,28.6456045,77.2127784,117,0,0,0,0,"0,0"
SUKKHI ONLINE PRIVATE LIMITED,Demand,MUMBAI,400070,MAHARASHTRA,19.155567,72.949138,110,0,0,0,0,"0,0"
GURUKRUPA ENTERPRISE,Demand,SURAT,395006,GUJARAT,21.2398678,72.911584,76,0,0,0,0,"0,0"
GLIDE ROUTE VENTURES LLP,Demand,MUMBAI,401107,MAHARASHTRA,19.2823036,72.8739224,149,0,0,0,0,"0,0"
BINDAL TEXTILES,Demand,PANIPAT,132103,HARYANA,29.370437,76.9747692,91,0,0,0,0,"0,0"
KISMAT COLLECTION,Demand,JAIPUR,302029,RAJASTHAN,26.8504878,75.7551386,71,0,0,0,0,"0,0"
SIMRAN COLLECTION,Demand,JAIPUR,302012,RAJASTHAN,26.9357806,75.7409911,71,0,0,0,0,"0,0"
MICRO INDUSTRIAL CORPORATION,Demand,NEW DELHI,110041,DELHI,28.681048,77.080864,68,0,0,0,0,"0,0"
AKS TRADERS,Demand,BAHADURGARH,124507,HARYANA,28.7223663,76.8656535,123,0,0,0,0,"0,0"
D E-Mart Import/Export,Demand,MATHURA,281001,UTTAR PRADESH,27.4503577,77.7083239,97,0,0,0,0,"0,0"
GANPATI TEXTILES,Demand,JAIPUR,302029,RAJASTHAN,26.8564499,75.7886828,78,0,0,0,0,"0,0"
THREAD BUCKET STUDIO LLP,Demand,SURAT,394210,GUJARAT,21.170627,72.8451276,108,0,0,0,0,"0,0"
Deepanshu Gupta and SON HUF,Demand,GHAZIABAD,201010,UTTAR PRADESH,28.668696,77.347783,42,0,0,0,0,"0,0"
J L MORIS ON (I) LTD,Demand,BHIWANDI,421302,MAHARASHTRA,19.2812547,73.0482912,97,0,0,0,0,"0,0"
SBG Retails,Demand,NEW DELHI,110051,DELHI,28.6453879,77.286847,108,0,0,0,0,"0,0"
ACCHA JEE ON-LINE SHOPPING PRIVATE LIMITED,Demand,GURGAON,122001,HARYANA,28.4415878,77.0089352,44,0,0,0,0,"0,0"
J B GLOBAL,Demand,PANIPAT,132103,HARYANA,29.3667106,76.9945473,119,0,0,0,0,"0,0"
PLACERO INTERNATIONAL PRIVATE LIMITED,Demand,SONIPAT,131028,HARYANA,28.860682,77.1257833,40,0,0,0,0,"0,0"
Ganpati FSN Trading,Demand,NEW DELHI,110053,DELHI,28.6831785,77.2613802,151,0,0,0,0,"0,0"
HOME ARTISTS,Demand,GHAZIABAD,201016,UTTAR PRADESH,28.6309511,77.4342979,96,0,0,0,0,"0,0"
VIKAS TRADERS,Demand,NEW DELHI,110051,DELHI,28.6453879,77.286847,82,0,0,0,0,"0,0"
WHOLESOME DEAL,Demand,NEW DELHI,110062,DELHI,28.5132572,77.2294595,83,0,0,0,0,"0,0"
SHREE JEEN MATA COLLECTION,Demand,JAIPUR,302012,RAJASTHAN,26.9370467,75.74898,76,0,0,0,0,"0,0"
MODERN SONS,Demand,HISSAR,125001,HARYANA,29.1573838,75.7396134,81,0,0,0,0,"0,0"
GLOBAL INDIA TRADERS,Demand,MUMBAI,400009,MAHARASHTRA,18.9558935,72.8340662,44,0,0,0,0,"0,0"
DB CREATIONS PVT LTD,Demand,GURGAON,122016,HARYANA,28.5016927,77.0867888,110,0,0,0,0,"0,0"
VEDICA ENTERPRISES,Demand,SONIPAT,131001,HARYANA,28.9895903,77.0582105,181,0,0,0,0,"0,0"
MODO WALKER,Demand,NEW DELHI,110006,DELHI,28.6613574,77.2024306,65,0,0,0,0,"0,0"
Mudita Enterprises,Demand,NEW DELHI,110094,DELHI,28.7217693,77.2841818,126,0,0,0,0,"0,0"
LIBERTY SHOES LIMITED,Demand,PANIPAT,132103,HARYANA,29.3530151,77.0058822,83,0,0,0,0,"0,0"
THE BRAND MGSV,Demand,SURAT,395010,GUJARAT,21.218137,72.8950639,97,0,0,0,0,"0,0"
SHREE RAM TRADING CO,Demand,NEW DELHI,110051,DELHI,28.6503376,77.2861288,185,0,0,0,0,"0,0"
BOOKESTAAN,Demand,INDORE,452001,MADHYA PRADESH,22.7081955,75.8824422,123,0,0,0,0,"0,0"
M/S GURU KRIPA ENTERPRISES,Demand,KANPUR,208012,UTTAR PRADESH,26.4624025,80.3374919,55,0,0,0,0,"0,0"
GANGAUR CREATIONS,Demand,INDORE,453771,MADHYA PRADESH,22.7895725,75.9002304,117,0,0,0,0,"0,0"
MSR TRADERS,Demand,NEW DELHI,110033,DELHI,28.6537952,77.2831588,88,0,0,0,0,"0,0"
BURGHAL STYLE,Demand,NEW DELHI,110094,DELHI,28.7025669,77.2596327,23,0,0,0,0,"0,0"
SELVEEN ENTERPRISE,Demand,SURAT,395010,GUJARAT,21.206858,72.890931,64,0,0,0,0,"0,0"
SUN ENTERPRISES-Indore,Demand,INDORE,452001,MADHYA PRADESH,22.7230174,75.8741274,73,0,0,0,0,"0,0"
NENCY FASHION,Demand,SURAT,395010,GUJARAT,21.1956334,72.8479352,77,0,0,0,0,"0,0"
Unicane Enterprise,Demand,SURAT,395006,GUJARAT,21.2116065,72.8983639,214,0,0,0,0,"0,0"
MIESTILO LIFESTYLE PRIVATE LIMITED,Demand,NEW DELHI,110032,DELHI,28.688073,77.282656,63,0,0,0,0,"0,0"
HAMILTON HOUSEWARES PVT LTD,Demand,GHAZIABAD,201003,UTTAR PRADESH,28.6915006,77.4436918,70,0,0,0,0,"0,0"
UNICO TRADERS,Demand,NEW DELHI,110002,DELHI,28.6495883,77.2433636,114,0,0,0,0,"0,0"
ACHIEVER LINGERIE,Demand,GHAZIABAD,201102,UTTAR PRADESH,28.7333526,77.2986264,104,0,0,0,0,"0,0"
MANO KNITTING MILLS,Demand,TIRUPPUR,641652,TAMIL NADU,11.145204,77.315975,55,0,0,0,0,"0,0"
M/s Amriteous,Demand,RAYA,281204,UTTAR PRADESH,27.5135527,77.7936955,104,0,0,0,0,"0,0"
PAYSTORE,Demand,HISSAR,125004,HARYANA,29.1390218,75.7204071,169,0,0,0,0,"0,0"
SAM ENTERPRISES,Demand,NEW DELHI,110083,DELHI,28.6922954,77.0916394,94,0,0,0,0,"0,0"
ELCINCO INC,Demand,TIRUPPUR,641604,TAMIL NADU,11.1009891,77.3661788,87,0,0,0,0,"0,0"
SBR PRINTERS,Demand,KANPUR,208001,UTTAR PRADESH,26.4644642,80.3299668,27,0,0,0,0,"0,0"
Mahalaxmi Enterprise,Demand,MUMBAI,400010,MAHARASHTRA,18.9656568,72.8401241,50,0,0,0,0,"0,0"
mansiya creations,Demand,NEW DELHI,110085,DELHI,28.703235,77.100352,39,0,0,0,0,"0,0"
SHRI GANPATI HAND PRINT,Demand,JAIPUR,302029,RAJASTHAN,26.8297043,75.773836,48,0,0,0,0,"0,0"
HALA FASHION PRIVATE LIMITED,Demand,NOIDA,201301,UTTAR PRADESH,28.59964,77.340471,69,0,0,0,0,"0,0"
MAHENDRA BROTHERS,Demand,GANGAGHAT,209861,UTTAR PRADESH,26.4667909,80.3489076,94,0,0,0,0,"0,0"
ANAND SAREES,Demand,SURAT,395002,GUJARAT,21.1894919,72.8442879,63,0,0,0,0,"0,0"
IDAM NATURAL WELLNESS PRIVATE LIMITED,Demand,GURGAON,122008,HARYANA,28.5002761,77.0812691,120,0,0,0,0,"0,0"
Happily Unmarried Marketing Private Limited,Demand,FARIDABAD,121003,HARYANA,28.4845511,77.3055406,80,0,0,0,0,"0,0"
R S TRADERS,Demand,NEW DELHI,110051,DELHI,28.655271,77.28947,68,0,0,0,0,"0,0"
BALAJI ENTERPRISE,Demand,RAJKOT,360004,GUJARAT,22.2670621,70.7911663,58,0,0,0,0,"0,0"
PURPLE PANDA FASHIONS PRIVATE LIMITED,Demand,GURGAON,122001,HARYANA,28.4639607,76.9614255,29,0,0,0,0,"0,0"
M/s Lovelook Skin Science,Demand,NEW DELHI,110062,DELHI,28.5086446,77.2323167,53,0,0,0,0,"0,0"
JB GLOBAL,Demand,PANIPAT,132103,HARYANA,29.3724541,76.9769075,114,0,0,0,0,"0,0"
GLOBAL IMPEX,Demand,NEW DELHI,110035,DELHI,28.6700497,77.1697256,56,0,0,0,0,"0,0"
SHOP IN ALL,Demand,NEW DELHI,110053,DELHI,28.6917233,77.2607807,104,0,0,0,0,"0,0"
INTELLOZENE,Demand,JAIPUR,302006,RAJASTHAN,26.903686,75.772072,61,0,0,0,0,"0,0"
BGN APPARELS,Demand,GURGAON,122002,HARYANA,28.4376636,76.994743,43,0,0,0,0,"0,0"
PRINT MANTRAS,Demand,GHAZIABAD,201009,UTTAR PRADESH,28.6410144,77.4677105,58,0,0,0,0,"0,0"
samarpan enterprise,Demand,SURAT,395006,GUJARAT,21.216691,72.8985611,60,0,0,0,0,"0,0"
DSM INDIA,Demand,NEW DELHI,110086,DELHI,28.7111866,77.0907322,121,0,0,0,0,"0,0"
SANTOSH FAB,Demand,PANIPAT,132103,HARYANA,29.4211922,76.9882152,65,0,0,0,0,"0,0"
S.K.ENTERPRISE,Demand,SURAT,395010,GUJARAT,21.2021314,72.8672904,36,0,0,0,0,"0,0"
Meet Sales,Demand,NEW DELHI,110019,DELHI,28.5241847,77.2588733,228,0,0,0,0,"0,0"
Ebiz Solutions,Demand,NEW DELHI,110092,DELHI,28.6425205,77.286847,41,0,0,0,0,"0,0"
Kapadia,Demand,AHMEDABAD,380028,GUJARAT,22.9954156,72.5873045,48,0,0,0,0,"0,0"
VIP CLOTHING LIMITED,Demand,BHIWANDI,421302,MAHARASHTRA,19.2495354,73.1041524,55,0,0,0,0,"0,0"
MAYANK GUPTA,Demand,MATHURA,281004,UTTAR PRADESH,27.4830286,77.6622303,61,0,0,0,0,"0,0"
OM SHIVA ENTERPRISE,Demand,SURAT,395006,GUJARAT,21.218137,72.8950639,121,0,0,0,0,"0,0"
SHREE BAIDYANATH AYURVED BHAWAN PVT LTD,Demand,NOIDA,201306,UTTAR PRADESH,28.5086346,77.5041955,117,0,0,0,0,"0,0"
Invicta,Demand,FARIDABAD,121002,HARYANA,28.3916882,77.3467996,59,0,0,0,0,"0,0"
A A ATTARWALA & COMPANY PRIVATE LIMITED,Demand,MUMBAI,400008,MAHARASHTRA,18.9691619,72.8279957,82,0,0,0,0,"0,0"
AASHU ENTERPRISES,Demand,YAMUNA NAGAR,135003,HARYANA,30.1387185,77.2962063,58,0,0,0,0,"0,0"
iView Enterprise,Demand,RAJKOT,360004,GUJARAT,22.2328699,70.7952438,100,0,0,0,0,"0,0"
DF PHARMACY LTD,Demand,AHMEDABAD,382481,GUJARAT,23.0914587,72.5400905,45,0,0,0,0,"0,0"
GOKUL ENTERPRISE,Demand,RAJKOT,360005,GUJARAT,22.3136695,70.7670949,120,0,0,0,0,"0,0"
ESTELA,Demand,SURAT,395002,GUJARAT,21.1817919,72.8301306,30,0,0,0,0,"0,0"
JAI SHIVAM TRADERS,Demand,JAIPUR,302029,RAJASTHAN,26.8078684,75.7255192,56,0,0,0,0,"0,0"
A.S. ENTERPRISES,Demand,NOIDA,201304,UTTAR PRADESH,28.5280294,77.3769437,68,0,0,0,0,"0,0"
Urban Retails,Demand,GURGAON,122001,HARYANA,28.4673177,77.0294594,101,0,0,0,0,"0,0"
EXPODE INNOVATIONS PRIVATE LIMITED,Demand,NEW DELHI,110039,DELHI,28.7979915,77.0521289,81,0,0,0,0,"0,0"
OnPoint Enterprises,Demand,NEW DELHI,110092,DELHI,28.6267107,77.2894586,46,0,0,0,0,"0,0"
ALCIS SPORTS PRIVATE LIMITED,Demand,NOIDA,201305,UTTAR PRADESH,28.5338198,77.4119498,45,0,0,0,0,"0,0"
NARESHBHAI MAGANBHAI BHALALA,Demand,SURAT,394107,GUJARAT,21.2436324,72.8601781,62,0,0,0,0,"0,0"
EAN ENTERPRISES,Demand,GURGAON,122001,HARYANA,28.4862995,77.0068237,91,0,0,0,0,"0,0"
SREE BHUWAL CREATION,Demand,SURAT,395002,GUJARAT,21.1645853,72.820466,35,0,0,0,0,"0,0"
ONA ENTERPRISES,Demand,JAIPUR,302002,RAJASTHAN,26.9408628,75.8380602,53,0,0,0,0,"0,0"
GURKIRPA LIFESTYLE COMPANY,Demand,FARIDABAD,121003,HARYANA,28.4688168,77.304441,39,0,0,0,0,"0,0"
AMIT KUMAR OJHA,Demand,NEW DELHI,110042,DELHI,28.7328391,77.0816288,55,0,0,0,0,"0,0"
LEE MODA EXPORTS,Demand,JAIPUR,302020,RAJASTHAN,26.8199467,75.7495543,72,0,0,0,0,"0,0"
KASHISH DRESSES,Demand,NOIDA,201301,UTTAR PRADESH,28.6201798,77.3774627,23,0,0,0,0,"0,0"
US TRADERS,Demand,NEW DELHI,110033,DELHI,28.7126367,77.1805084,38,0,0,0,0,"0,0"
P & V CREATIONS,Demand,SURAT,395010,GUJARAT,21.203403,72.8681287,40,0,0,0,0,"0,0"
precision moulds and dies pvt. ltd.,Demand,GHAZIABAD,201010,UTTAR PRADESH,28.6620078,77.3366816,148,0,0,0,0,"0,0"
B S FASHION,Demand,JAIPUR,302029,RAJASTHAN,26.8152783,75.7779595,25,0,0,0,0,"0,0"
Lango Garments,Demand,TIRUPPUR,641602,TAMIL NADU,11.1233696,77.3412247,33,0,0,0,0,"0,0"
A S V TEXTILE,Demand,TIRUPPUR,641604,TAMIL NADU,11.0845068,77.3477678,60,0,0,0,0,"0,0"
JIGNISHA FASHION,Demand,SURAT,395010,GUJARAT,21.1906171,72.8765802,150,0,0,0,0,"0,0"
DWIDEN CREATION,Demand,AHMEDABAD,382350,GUJARAT,23.0407538,72.6549738,27,0,0,0,0,"0,0"
GEETA ENTERPRISES,Demand,HISSAR,125001,HARYANA,29.1223713,75.7040061,68,0,0,0,0,"0,0"
SUPERCULT,Demand,SURAT,395003,GUJARAT,21.190664,72.8400545,45,0,0,0,0,"0,0"
KHUSHI ENTERPRISES,Demand,NEW DELHI,110094,DELHI,28.7266354,77.247058,133,0,0,0,0,"0,0"
DHANJAL & SONS,Demand,GHAZIABAD,201009,UTTAR PRADESH,28.6457103,77.4228859,42,0,0,0,0,"0,0"
ARSHIA FASHIONS,Demand,GHAZIABAD,201014,UTTAR PRADESH,28.6408179,77.361636,44,0,0,0,0,"0,0"
GC Creation,Demand,NOIDA,201304,UTTAR PRADESH,28.5280294,77.3769437,58,0,0,0,0,"0,0"
